STT,Mã ICD-10,Tên bệnh (Tiếng Việt),Chương,Khối mã,Không làm bệnh chính,Chỉ Nữ,Chỉ Nam
46,A06.2,Amoebic Viêm đại tràng do a-míp parasitic diseases ký sinh trùng diseases đường ruột nondysenteric không gây hội chứng lỵ colitis,I,A00-B99,0,0,0
47,A06.3,Amoeboma of Amoeboma NOS U a-míp đường ruột U a-míp không xác parasitic diseases ký sinh trùng diseases đường ruột intestine định khác,I,A00-B99,0,0,0
51,A06.7,Cutaneous Nhiễm a-míp ở da parasitic diseases ký sinh trùng diseases đường ruột amoebiasis,I,A00-B99,0,0,0
52,A06.8,Amoebic infection Amoebic: Nhiễm a-míp ở vị trí khác - A-míp: parasitic diseases ký sinh trùng diseases đường ruột of other sites appendicitis + viêm ruột thừa balanitis† (N51.2*) + viêm quy đầu† (N51,I,A00-B99,0,0,0
53,A06.9,"Amoebiasis, Bệnh do a-míp, không xác parasitic diseases ký sinh trùng diseases đường ruột unspecified định",I,A00-B99,0,0,0
54,A07,Other protozoal Bệnh đường ruột do đơn A07 parasitic diseases ký sinh trùng diseases đường ruột intestinal diseases ruột do đơn intestinal diseases bào khác bào khác,I,A00-B99,0,0,0
55,A07.0,Balantidiasis Balantidial dysentery Bệnh đường ruột do Bệnh lỵ do parasitic diseases ký sinh trùng diseases đường ruột intestinal diseases ruột do đơn nhiễm balantidium Balantidium bào khác,I,A00-B99,0,0,0
56,A07.1,Giardiasis Bệnh đường ruột do parasitic diseases ký sinh trùng diseases đường ruột intestinal diseases ruột do đơn [lambliasis] nhiễm giardia [lamblia] bào khác,I,A00-B99,0,0,0
57,A07.2,Cryptosporidiosis Bệnh đường ruột do parasitic diseases ký sinh trùng diseases đường ruột intestinal diseases ruột do đơn nhiễm cryptosporidium bào khác,I,A00-B99,0,0,0
58,A07.3,Isosporiasis Infection due to Bệnh đường ruột do - Nhiễm Isospora parasitic diseases ký sinh trùng diseases đường ruột intestinal diseases ruột do đơn Isospora belli and nhiễm lsospora belli và/hoặc b,I,A00-B99,0,0,0
59,A07.8,Other specified Intestinal Bệnh đường ruột do đơn - Bệnh do nhiễm parasitic diseases ký sinh trùng diseases đường ruột intestinal diseases ruột do đơn protozoal trichomoniasis bào xác định khác tricho,I,A00-B99,0,0,0
60,A07.9,"Protozoal Flagellate diarrhoea Bệnh đường ruột do đơn - Tiêu chảy do parasitic diseases ký sinh trùng diseases đường ruột intestinal diseases ruột do đơn intestinal disease, Protozoal: bào, không xác ",I,A00-B99,0,0,0
61,A08,Viral and other Excl.: Nhiễm trùng đường ruột - Loại trừ: cúm ảnh A08 parasitic diseases ký sinh trùng diseases đường ruột specified intestinal đường ruột do specified intestinal influenza with do vir,I,A00-B99,0,0,0
62,A08.0,Rotaviral enteritis Viêm ruột do virus rota parasitic diseases ký sinh trùng diseases đường ruột specified intestinal đường ruột do infections virus và/hoặc tác nhân xác định khác,I,A00-B99,0,0,0
63,A08.1,Acute Noroviral enteritis Bệnh lý dạ dày - ruột cấp - Viêm ruột do parasitic diseases ký sinh trùng diseases đường ruột specified intestinal đường ruột do gastroenteropathy Small round structured tính,I,A00-B99,0,0,0
64,A08.2,Adenoviral Viêm ruột do virus adeno parasitic diseases ký sinh trùng diseases đường ruột specified intestinal đường ruột do enteritis infections virus và/hoặc tác nhân xác định khác,I,A00-B99,0,0,0
65,A08.3,Other viral Viêm ruột do virus khác parasitic diseases ký sinh trùng diseases đường ruột specified intestinal đường ruột do enteritis infections virus và/hoặc tác nhân xác định khác,I,A00-B99,0,0,0
66,A08.4,"Viral intestinal Viral: Nhiễm trùng đường ruột - Do virus: parasitic diseases ký sinh trùng diseases đường ruột specified intestinal đường ruột do infection, enteritis NOS do virus, không xác định + v",I,A00-B99,0,0,0
67,A08.5,Other specified Nhiễm trùng đường ruột parasitic diseases ký sinh trùng diseases đường ruột specified intestinal đường ruột do intestinal infections xác định khác infections virus và/hoặc tác nhân xác,I,A00-B99,0,0,0
68,A09,"Other Excl.: due to bacterial, Viêm dạ dày - ruột - Loại trừ: do vi A09 parasitic diseases ký sinh trùng diseases đường ruột gastroenteritis ruột và/hoặc gastroenteritis and protozoal, viral and và/ho",I,A00-B99,0,0,0
69,A09.0,"Other and Catarrh, enteric or Viêm dạ dày - ruột - Xuất tiết, đường parasitic diseases ký sinh trùng diseases đường ruột gastroenteritis ruột và/hoặc unspecified intestinal và/hoặc đại tràng do tiêu h",I,A00-B99,0,0,0
70,A09.9,Gastroenteritis Neonatal diarrhoea Viêm dạ dày - ruột - Tiêu chảy sơ sinh parasitic diseases ký sinh trùng diseases đường ruột gastroenteritis ruột và/hoặc and colitis of NOS và/hoặc đại tràng không k,I,A00-B99,0,0,0
71,A15,"Respiratory Bệnh lao hô hấp, được A15 parasitic diseases ký sinh trùng tuberculosis, hấp, được tuberculosis, khẳng định bằng vi khuẩn bacteriologically khẳng định bacteriologically học và/hoặc mô học ",I,A00-B99,0,0,0
72,A15.0,"Tuberculosis of - Tuberculosis of lung, Bệnh lao phổi, được khẳng - Bệnh lao phổi, parasitic diseases ký sinh trùng tuberculosis, hấp, được lung, confirmed by bacteriologically định bằng soi đờm có nu",I,A00-B99,0,0,0
73,A15.1,"Tuberculosis of Conditions listed in Bệnh lao phổi, chỉ được Bệnh lý được liệt parasitic diseases ký sinh trùng tuberculosis, hấp, được lung, confirmed by A15.0, confirmed by khẳng định bằng nuôi cấy ",I,A00-B99,0,0,0
74,A15.2,"Tuberculosis of Conditions listed in Bệnh lao phổi, được khẳng Bệnh lý được liệt parasitic diseases ký sinh trùng tuberculosis, hấp, được lung, confirmed A15.0, confirmed được bằng mô học kê trong A15",I,A00-B99,0,0,0
75,A15.3,"Tuberculosis of Conditions listed in Bệnh lao phổi, được khẳng Bệnh lý được liệt parasitic diseases ký sinh trùng tuberculosis, hấp, được lung, confirmed by A15.0, confirmed but định bằng phương pháp ",I,A00-B99,0,0,0
76,A15.4,"Tuberculosis of Tuberculosis of lymph Bệnh lao hạch lympho - Bệnh lao hạch parasitic diseases ký sinh trùng tuberculosis, hấp, được intrathoracic nodes: trong khoang ngực, được lympho: bacteriological",I,A00-B99,0,0,0
77,A15.5,"Tuberculosis of Tuberculosis of: Bệnh lao thanh quản, khí - Bệnh lao ở: parasitic diseases ký sinh trùng tuberculosis, hấp, được larynx, trachea and bronchus quản và/hoặc phế quản, + phế quản được bac",I,A00-B99,0,0,0
78,A15.6,"Tuberculous Tuberculosis of pleura Bệnh lao màng phổi, được - Bệnh lao màng parasitic diseases ký sinh trùng tuberculosis, hấp, được pleurisy, confirmed Tuberculous empyema khẳng định bằng vi khuẩn ph",I,A00-B99,0,0,0
79,A15.7,"Primary Bệnh lao hô hấp sơ nhiễm, parasitic diseases ký sinh trùng tuberculosis, hấp, được respiratory được khẳng định bằng vi bacteriologically khẳng định tuberculosis, khuẩn học và/hoặc mô học and h",I,A00-B99,0,0,0
80,A15.8,"Other respiratory Mediastinal Bệnh lao hô hấp khác, - Bệnh lao trung parasitic diseases ký sinh trùng tuberculosis, hấp, được tuberculosis, tuberculosis được khẳng định bằng vi thất được khẳng bacteri",I,A00-B99,0,0,0
81,A15.9,"Respiratory Bệnh lao hô hấp không xác parasitic diseases ký sinh trùng tuberculosis, hấp, được tuberculosis định, được khẳng định bacteriologically khẳng định unspecified, bằng vi khuẩn học và/hoặc an",I,A00-B99,0,0,0
82,A16,"Respiratory Bệnh lao hô hấp, không A16 parasitic diseases ký sinh trùng tuberculosis, not hấp, không tuberculosis, not được khẳng định bằng vi confirmed được khẳng confirmed khuẩn học hoặc mô học bact",I,A00-B99,0,0,0
83,A16.0,"Tuberculosis of Tuberculous: Bệnh lao phổi, âm tính - Do lao: parasitic diseases ký sinh trùng tuberculosis, not hấp, không lung, bronchiectasis bằng vi khuẩn học và/hoặc + giãn phế quản confirmed đượ",I,A00-B99,0,0,0
84,A16.1,"Tuberculosis of Conditions listed in Bệnh lao phổi, không xét Bệnh lý được liệt parasitic diseases ký sinh trùng tuberculosis, not hấp, không lung, A16.0, bacteriological nghiệm vi khuẩn học kê ở A16.",I,A00-B99,0,0,0
85,A16.2,"Tuberculosis of Tuberculosis of lung Bệnh lao phổi, không đề - Bệnh lao phổi parasitic diseases ký sinh trùng tuberculosis, not hấp, không lung, without Tuberculous: cập đến việc khẳng định - Do lao: ",I,A00-B99,0,0,0
86,A16.3,"Tuberculosis of Tuberculosis of lymph Bệnh lao hạch lympho - Bệnh lao hạch parasitic diseases ký sinh trùng tuberculosis, not hấp, không intrathoracic nodes: trong khoang ngực, không lympho ở: confirm",I,A00-B99,0,0,0
87,A16.4,"Tuberculosis of Tuberculosis of: Bệnh lao thanh quản, khí - Bệnh lao ở: parasitic diseases ký sinh trùng tuberculosis, not hấp, không larynx, trachea and bronchus quản và/hoặc phế quản, + phế quản khô",I,A00-B99,0,0,0
88,A16.5,"Tuberculous Tuberculosis of pleura Bệnh lao màng phổi, - Bệnh lao màng parasitic diseases ký sinh trùng tuberculosis, not hấp, không pleurisy, without Tuberculous: không đề cập đến việc phổi không xác",I,A00-B99,0,0,0
89,A16.7,"Primary Primary: Bệnh lao hô hấp sơ nhiễm Sơ nhiễm: parasitic diseases ký sinh trùng tuberculosis, not hấp, không respiratory respiratory không đề cập đến việc + bệnh lao hô hấp confirmed được khẳng t",I,A00-B99,0,0,0
90,A16.8,"Other respiratory Mediastinal Bệnh lao hô hấp khác, Bệnh lao trung parasitic diseases ký sinh trùng tuberculosis, not hấp, không tuberculosis, tuberculosis không đề cập đến việc thất không xác confirm",I,A00-B99,0,0,0
